invalid_block_priority,Initially_allocated_array_size(x_times_of_LLC),num_IO_calls,number_of_times_IO_buffer_accessed_in_a_IO_call,portion_of_array_invalidated_&_accessed_in_a_IO_call,miss_for_IO_call_1,miss_for_IO_call_2,miss_for_IO_call_3,miss_for_IO_call_4,miss_for_IO_call_5,miss_for_IO_call_6,miss_for_IO_call_7,miss_for_IO_call_8,miss_for_IO_call_9,miss_for_IO_call_10,miss_for_IO_call_11,miss_for_IO_call_12,miss_for_IO_call_13,miss_for_IO_call_14,miss_for_IO_call_15,miss_for_IO_call_16,miss_for_IO_call_17,miss_for_IO_call_18,miss_for_IO_call_19,miss_for_IO_call_20
1,1,20,4,0.125,4096,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095
0,1,20,4,0.25,9427,9437,9409,9388,9466,9439,9369,9403,9461,9458,9476,9437,9427,9415,9387,9367,9442,9360,9424,9417
1,1,20,4,0.25,8191,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190
0,1,20,4,0.5,22518,22549,22531,22542,22726,22754,22611,22445,22519,22538,22585,22467,22651,22491,22664,22470,22535,22589,22517,22547
1,1,20,4,0.5,16381,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380
0,1,20,4,0.75,42076,42087,42393,42185,41966,42335,42396,42378,41922,42333,42420,42038,42179,42421,42229,42110,42299,42106,42165,41988
1,1,20,4,0.75,24571,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570
0,1,20,4,1,70531,70851,70481,70855,70708,70697,70950,70768,70863,70841,70444,70459,70909,70849,70697,70491,70812,70719,70898,70711
1,1,20,4,1,32760,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759
0,2,20,4,1,225746,225804,225743,226100,225977,225773,225754,225858,225904,226154,225731,225939,225943,225871,225609,225806,225852,225895,225698,225944
1,2,20,4,1,220321,220370,220289,220662,220435,220066,220193,220542,220467,220075,220484,220355,220255,220295,220223,220242,220692,220450,220313,220380
0,1,20,6,0.125,4363,4348,4416,4392,4383,4365,4394,4371,4369,4391,4418,4381,4393,4360,4357,4361,4369,4383,4390,4385
1,1,20,6,0.125,4096,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095
0,1,20,6,0.25,9429,9439,9410,9386,9475,9440,9371,9407,9458,9461,9476,9432,9428,9421,9392,9363,9441,9365,9427,9421
1,1,20,6,0.25,8191,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190
0,1,20,6,0.5,22647,22708,22700,22649,22816,22900,22711,22617,22655,22648,22656,22605,22760,22649,22816,22655,22674,22906,22614,22799
1,1,20,6,0.5,16381,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380
0,1,20,6,0.75,44158,44472,44591,44219,44373,44261,44424,44431,44428,44576,44640,44550,44527,44673,44390,44399,44455,44279,44062,44336
1,1,20,6,0.75,24571,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570
0,1,20,6,1,82958,83473,83067,83480,83017,83412,83309,82850,83141,83142,83512,83202,83267,83259,83496,82861,83443,83014,82850,83095
1,1,20,6,1,32760,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759
0,2,20,6,1,330283,330133,330521,330289,330346,330553,330314,330375,330298,330115,330240,330407,329990,330488,330202,330174,330187,330336,330212,330233
1,2,20,6,1,324824,324650,325039,324629,324783,324960,324563,324621,324708,324586,324401,325011,324506,324819,324617,324596,324645,324527,324758,324640
0,1,20,8,0.125,4363,4348,4416,4392,4383,4365,4394,4371,4369,4391,4418,4381,4393,4360,4357,4361,4369,4383,4390,4385
1,1,20,8,0.125,4096,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095
0,1,20,8,0.25,9429,9439,9410,9386,9475,9440,9371,9407,9458,9461,9476,9432,9428,9421,9392,9363,9441,9365,9427,9421
1,1,20,8,0.25,8191,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190
0,1,20,8,0.5,22651,22717,22710,22648,22822,22896,22731,22625,22674,22645,22662,22619,22773,22650,22842,22641,22679,22893,22632,22804
1,1,20,8,0.5,16381,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380,16380
0,1,20,8,0.75,44813,45181,45150,44931,45025,44877,45078,44992,44670,45523,45061,44986,45620,45091,44882,45192,44868,44907,44675,44955
1,1,20,8,0.75,24571,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570,24570
0,1,20,8,1,91953,91918,92589,92272,92569,92011,92332,92169,91658,92544,92146,92125,92432,91763,92409,91653,92301,92481,92351,91205
1,1,20,8,1,32760,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759,32759
0,2,20,8,1,434638,434630,434475,434874,434415,434608,434730,434218,434960,434432,434780,434531,434239,434700,434403,434550,434533,434402,434666,434853
1,2,20,8,1,429187,429153,429001,429363,428794,429306,429375,428755,429457,429048,429393,429034,428957,429027,428904,428916,429347,428975,429208,429285
